	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0.00	0.37	0.19	0.10	0.11	0.10	0.27	0.05	1.39	0.13	0.05	0.14	0.12
1	120.63	0.00	60.17	188.81	45.60	67.84	167.27	31.06	374.27	229.99	161.88	440.23	158.87
2	1651.10	1594.53	0.00	266.63	101.20	143.71	317.66	76.18	1981.97	470.38	204.71	532.87	229.13
3	4425.77	25644.84	1366.68	0.00	2145.49	4526.30	5894.93	1448.05	14025.47	4863.25	2140.05	11902.92	6103.46
4	0.08	0.10	0.01	0.04	0.00	0.06	0.09	0.02	0.48	0.03	0.01	0.04	0.04
5	4545.55	9218.61	736.93	4528.11	3670.06	0.00	7628.64	2682.74	17417.03	2719.43	946.82	4278.77	3477.32
6	19.85	37.42	2.68	9.71	8.58	12.56	0.00	4.17	103.17	9.79	3.98	11.50	18.64
7	141.22	283.42	26.23	97.28	74.36	180.15	170.07	0.00	498.39	90.52	34.47	132.93	93.24
8	13.20	10.88	2.17	3.00	6.03	3.73	13.41	1.59	0.00	5.23	1.26	3.64	3.87
9	2403.75	13090.09	1010.32	2037.90	812.57	1139.09	2490.20	564.65	10233.74	0.00	1321.27	4022.53	1751.29
10	402.00	4138.15	197.49	402.78	136.84	178.13	454.32	96.58	1105.50	593.44	0.00	853.14	359.45
11	9637.54	93284.98	4261.20	18569.75	3895.78	6672.65	10891.81	3087.10	26503.22	14976.02	7071.73	0.00	8936.57
12	118.31	494.60	26.92	139.89	55.38	79.67	259.32	31.81	414.39	95.79	43.77	131.29	0.00
